,序号,机构名称,从业人员数,一般证券业务,证券投资咨询业务(其他),证券经纪业务营销,证券经纪人,证券投资咨询业务(分析师),证券投资咨询业务(投资顾问),保荐代表人,投资主办人,机构ID
110,111,中航证券有限公司,2340,1100,0,1,1097,17,101,13,11,1999064
111,112,中山证券有限责任公司,1841,1062,0,3,675,5,54,11,31,1999029
112,113,中泰证券股份有限公司,8556,5097,0,37,1924,59,1380,59,0,1999074
113,114,中天国富证券有限公司,777,721,0,0,0,0,0,56,0,1999140
114,115,中天证券股份有限公司,919,640,0,0,164,10,96,0,9,1999139
115,116,中信建投证券股份有限公司,10404,6084,0,0,1970,54,2055,200,41,1999144
116,117,中信证券（山东）有限责任公司,2444,1887,0,0,73,0,484,0,0,1999075
117,118,中信证券股份有限公司,9125,6723,0,4,188,91,1908,154,57,1999101
118,119,中银国际证券股份有限公司,3905,2082,0,60,1332,51,312,36,32,1999130
119,120,中邮证券有限责任公司,893,585,0,4,220,3,58,4,19,1999134
120,121,中原证券股份有限公司,2815,1800,0,1,384,13,576,17,24,1999073
